Time,LOND_NEWY_in,LOND_NEWY_out,AMST_BOST_in,AMST_BOST_out,AOFA_LOND_in,AOFA_LOND_out,CERN-513_WASH_in,CERN-513_WASH_out
01/08/2018 11:00,18483330944,8409942184,5358036482,6139945233,29984887218,37565290559,1898031809,7589986006
01/08/2018 12:00,15991586913,4844989202,5021474216,7657128743,38113148958,43170341618,1554235417,13351639953
01/08/2018 13:00,17954197214,9481508340,6061849045,9635383855,37714297090,37420260495,1761832451,1188343604
01/08/2018 14:00,11962831497,2921665950,2373159130,8411510532,32808470866,32335254722,1478242254,1643128137
01/08/2018 15:00,12185715873,12294800310,4922079342,11679830197,34656572759,45575211970,2379319162,1935382058
01/08/2018 16:00,12652739540,8330909086,5497750460,9305656272,32098537648,37143332357,3404250467,725584435.2
01/08/2018 17:00,13361037388,19123876760,14150455761,14289573819,30883219289,37120714872,1656382968,2442856622
01/08/2018 18:00,10889302085,13876706113,8317242303,9917373567,35596536819,45458685860,5552517622,718219517.6
01/08/2018 19:00,11419389996,19030440759,7160875845,10080963480,35435807762,38810312920,7627266984,1935285316
01/08/2018 20:00,12609564959,7221405950,6242786735,11326934861,29149684173,44126820656,6448007204,2004263719
01/08/2018 21:00,11983218861,7086423771,6272003838,11570171973,29526556076,39927965160,5400866188,1073160041
01/08/2018 22:00,9703507450,4600365967,3924762389,12191174819,35250291643,35057820650,5325917886,924908130.3
01/08/2018 23:00,6940982137,6556314902,4706888788,10347205339,29590870620,23553151998,6385674899,537920193.2
01/09/2018 00:00,1810131159,20714958257,11550329910,16130183569,26353830249,23480564945,5357268063,263909162.4
01/09/2018 01:00,7621399197,14058348189,6196455366,8722381556,44351719633,29297539080,6618866901,7847898351
01/09/2018 02:00,5692276935,5255219667,6803285146,7610261378,38595021345,27087483755,5000766339,4525299422
01/09/2018 03:00,3796574865,7126023404,6935373291,2503275098,40471073689,36518505187,4154807212,1019352055
01/09/2018 04:00,5101853829,13644705367,7080779215,2932080468,50582047784,30959622438,4596502948,10088818225
01/09/2018 05:00,3701425063,32416960608,6246186985,2411632017,39059161233,29806456156,3487282181,2740692960
01/09/2018 06:00,4578567675,27356758267,4897008328,2891805112,41502468231,29999155233,5198771879,3772595965
01/09/2018 07:00,6051570699,22060304146,3428994958,4051076387,29442850581,25377676213,3187415884,796286581.3
01/09/2018 08:00,5304789105,28638644697,5830851359,3986758238,22841928734,30913034629,5262388643,423094328.7
01/09/2018 09:00,6256667771,36785735566,4929395436,3076331725,30663602755,43955935252,9432739223,659533960.8
01/09/2018 10:00,4044971124,13167246471,8113209593,2722930007,21383108942,42910444087,8831551702,1171093594
01/09/2018 11:00,4498024811,12467385658,8922590773,3820876323,24506820371,41967858166,9040993748,2417473937
01/09/2018 12:00,5517456432,7703548686,8767185293,3725598178,22989630406,50434000158,8130329376,1020556910
01/09/2018 13:00,7729316301,18123481218,10392182850,7706749512,31143213045,36972737423,8252961850,474269473.1
01/09/2018 14:00,5505933577,9098298275,10028361899,4101316142,28834554550,32157310780,6536303859,3231352927
01/09/2018 15:00,6468912822,11482951537,10075949874,4662965054,27697622757,34441835903,4501415265,5882124438
01/09/2018 16:00,7958424208,10953897162,9479658127,4712867455,27905114215,35790066721,5225867912,4766375657
01/09/2018 17:00,8151690599,12441053378,9756967637,4035017580,33971823501,47248712069,5015997448,1811012929
01/09/2018 18:00,7065331691,13237572025,9182548808,4618637651,33421367969,47341112518,6496974223,6628931296
01/09/2018 19:00,8474611116,7503526835,9796371701,4595775406,33191812870,38483102287,4405923099,6449933321
01/09/2018 20:00,8055094283,5400894873,9342336828,5104702484,34624426298,53021010624,1706275952,2187580162
01/09/2018 21:00,6559513459,5576425536,10149896334,9355549835,41429756745,54130608254,4069256325,9125804361
01/09/2018 22:00,9619597095,6677870644,10212868142,13983497770,38356258402,59413032168,1073744698,2054289406
01/09/2018 23:00,7921913950,5747619848,7742786215,7590041713,38124592464,64280657247,2518994794,1438344134
01/10/2018 00:00,10777883614,5739237925,8368788473,7523475623,32160978168,62133256378,1730181103,934436737.5
01/10/2018 01:00,6992274664,7215327230,7337263990,14966376852,48093953971,63450586465,2584500116,1778365258
01/10/2018 02:00,7607381971,10510673335,11387015459,5147037420,45310399651,51676177823,2784866433,5289951860
01/10/2018 03:00,7536108115,22241668699,11243511381,4802825571,32269120977,64989513977,2147213529,1210461510
01/10/2018 04:00,8982837067,27108092283,9381696466,5152933655,24891854747,60119098170,1232890140,1329336943
01/10/2018 05:00,6075196368,44743654637,7596808996,7729434964,29167206913,52820225894,2122351648,5581374452
01/10/2018 06:00,2863558546,41820528460,7600934637,7260213448,37145364751,61633841713,2401526777,11406149728
01/10/2018 07:00,3047367687,40562888114,7318106016,5378800011,27570129362,61443872212,3216178877,5957753361
01/10/2018 08:00,4750240203,43902657494,8244199794,11161627093,34746955028,34992540038,1581329659,11531396598
01/10/2018 09:00,5133774756,38193789729,7345678899,7012689735,31724666404,39917500058,6153484934,1024653510
01/10/2018 10:00,4593471300,36818696686,7498270395,7336219279,28372543749,42371968304,7071490822,4962776225
01/10/2018 11:00,3379965641,33625433417,6619576328,8942332994,28767374828,38197652223,6112890704,4889305273
01/10/2018 12:00,1906947238,15966291224,6054741992,10259734029,36646799563,38359862024,6491691982,2691919218
01/10/2018 13:00,1008661340,2706979622,3479517321,7750070993,47831861646,39960094952,7224183993,1080906799
01/10/2018 14:00,3278497683,27122147048,5567935126,10040941472,57185900707,41446230671,6988993662,6934719458
01/10/2018 15:00,5306078852,1332436654,3650448126,6283019262,39765204498,50508001302,6443476337,1853793940
01/10/2018 16:00,12204339941,1456577715,6494730848,6927604524,30411815609,31392605286,7885336352,1259002162
01/10/2018 17:00,9649244178,1671160401,7090804211,5442146696,32235428213,32794681363,9391660668,2209488710
